make,model,year,price_usd,total_price,mileage,engine_,transmission,fuel_type,drive_type,color,Country,landing_cost,import_duty,excise_duty,vat,rdl,idf,total_cost
HONDA,VEZEL,2018,"8,100",9904.00,"141,000","1,500",AT,HYBRID(PETROL),2WD,BLACK,JAPAN,1307328,457564.8,352978.56,338859.4176,26146.56,45756.48,2778633.818
HONDA,N,2020,"1,980",3400.00,"199,000",660,AT,PETROL,4WD,WHITE,JAPAN,448800,157080,121176,116328.96,8976,15708,1118068.96
TOYOTA,TOWNACE,2022,"5,800",7579.00,"144,000","1,500",5MT,PETROL,2WD,WHITE,JAPAN,1000428,350149.8,270115.56,259310.9376,20008.56,35014.98,2185027.838
TOYOTA,YARIS,2021,"4,700",6149.00,"101,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,811668,284083.8,219150.36,210384.3456,16233.36,28408.38,1819928.246
TOYOTA,YARIS,2021,"5,000",6453.00,"91,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,851796,298128.6,229984.92,220785.5232,17035.92,29812.86,1897543.823
TOYOTA,YARIS,2021,"4,800",6250.00,"104,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,825000,288750,222750,213840,16500,28875,1845715
TOYOTA,YARIS,2021,"5,100",6554.00,"75,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,865128,302794.8,233584.56,224241.1776,17302.56,30279.48,1923330.578
TOYOTA,YARIS,2021,"4,800",6250.00,"105,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,825000,288750,222750,213840,16500,28875,1845715
TOYOTA,YARIS,2021,"4,800",6250.00,"100,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,825000,288750,222750,213840,16500,28875,1845715
TOYOTA,YARIS,2021,"4,700",6149.00,"95,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,811668,284083.8,219150.36,210384.3456,16233.36,28408.38,1819928.246
TOYOTA,YARIS,2021,"4,600",6048.00,"121,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,798336,279417.6,215550.72,206928.6912,15966.72,27941.76,1794141.491
TOYOTA,YARIS,2021,"4,900",6352.00,"97,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,838464,293462.4,226385.28,217329.8688,16769.28,29346.24,1871757.069
TOYOTA,YARIS,2021,"4,800",6250.00,"118,000","1,000",AT,PETROL,2WD,PEARL,JAPAN,825000,288750,222750,213840,16500,28875,1845715
TOYOTA,SUCCEED,2018,"4,200",5748.00,"232,000","1,500",AT,PETROL,4WD,WHITE,JAPAN,758736,265557.6,204858.72,196664.3712,15174.72,26555.76,1717547.171
TOYOTA,PROBOX,2019,"4,800",6355.00,"172,000","1,300",AT,PETROL,2WD,WHITE,JAPAN,838860,293601,226492.2,217432.512,16777.2,29360.1,1872523.012
NISSAN,NV200VANETTE,2018,"5,000",6872.00,"140,000","1,600",AT,PETROL,2WD,WHITE,JAPAN,907104,317486.4,306147.6,244918.08,18142.08,31748.64,2075546.8
TOYOTA,HIACE,2020,"15,500",16223.00,"150,000","2,700",AT,PETROL,2WD,SILVER,JAPAN,2141436,749502.6,722734.65,578187.72,42828.72,74950.26,4559639.95
TOYOTA,COROLLA,2020,"6,250",7924.00,"110,000","1,500",AT,HYBRID(PETROL),2WD,SILVER,JAPAN,1045968,366088.8,282411.36,271114.9056,20919.36,36608.88,2273111.306
TOYOTA,COROLLA,2020,"6,200",7873.00,"110,000","1,500",AT,HYBRID(PETROL),2WD,WHITE,JAPAN,1039236,363732.6,280593.72,269369.9712,20784.72,36373.26,2260090.271
TOYOTA,RAV4,2019,"15,800",17940.00,"90,000","2,500",AT,HYBRID(PETROL),4WD,BLACK,JAPAN,2368080,828828,799227,639381.6,47361.6,82882.8,5015761
